Name,City,State,Description,Size,Industry,Development Stack,Product or Service,Team Practices,Company Culture
AdHarmonics,Cambridge,MA,"AdHarmonics is a quantitative internet Marketing and Advertising firm focused on applying sophisticated mathematics and enterprise class technology to our partner's online customer acquisition programs. Our proprietary, mathematically driven multi-channel campaign management and optimization platform delivers the high quality, scalable connections to consumers companies needed to thrive today. ",11-50,Marketing and Advertising,"Consumer-facing website is Ruby on Rails with MySQL for storage. Website talks to backend services written in Java. One node.js service. Reporting framework written in Python. Git, GitHub, Pivotal, NewRelic, Whoops. The best software and hardware tools available.","AdHarmonics is focused on applying sophisticated mathematics and enterprise class technology to our partner's online customer acquisition programs. Our primary focus is the auto insurance industry, where we are working with the biggest players in the business.","Given the broad set of technologies used, the team has a diverse set of backgrounds. Agile development practices, daily stand-up meetings, and frequent releases. TDD wherever possible.","An energetic team of 35 people. Highly collaborative, friendly, and driven. Employees are encouraged to prototype product enhancements and A/B test them in production wherever possible. Work hours are flexible. Lunch is provided often. Flexible work hours with work from home options."
America's Test Kitchen,Brookline,MA,"America's Test Kitchen is a real 2,500 square foot test kitchen located just outside of Boston that is home to more than three dozen full-time cooks and product testers. Our mission is simple: to develop the absolute best recipes for all of your favorite foods. ",51-200,Food,,,,
Backupify,Cambridge,MA,"Backupify is the leading backup provider for cloud application data, offering an all-in-one archiving, search and restore solution for the most popular online services including Google Apps, Salesforce, Facebook, Twitter and more.",11-50,Data Storage,"Big data solution that scales around massive write-through storage of backed up data. All coding in Ruby, with Ruby on Rails, Redis, Resque, Cassandra, AWS S3 all deployed in AWS.",Backup for your cloud application data. Protect your SaaS.,"We are a small but growing team of 10 experienced full-stack engineers that use Agile development, emphasize engineering-based-testing, and trust our engineers to make good choices for our business.","Startup culture with open office space, flexible vacation and remote-work policies, and focus on working hard to achieve business goals. Our motto is: work proud."
CogoLabs,Cambridge,MA,"Combine entrepreneurial business leadership with a unique platform of proprietary technologies for algorithmic Marketing and Advertising, data mining, and quantitative business analytics. ",11-50,Business Technology,"Ruby, Python, MySQL, Hadoop, and a bunch of interesting stuff that we've built in-house",We build start-up companies from scratch,"We have a small team where everyone's voice matters. We're iterative, creative, and collaborative.","It's fun. Everyone here is low-key, no egos, very collaborative, outgoing."
Burstworks,Cambridge,MA,We leverage our extensive global reach to provide data-driven distribution services to our partners in a variety of different advertising formats.,1-10,Internet,"Some (but not all) of the technologies you'd be interfacing with include: Real time data: Node.js, StatsD, Librato Big data analytics: Cloudera, Hadoop, Hive, Pig, AWS, EMR Ad serving: Nginx, Lua, Python, Redis Infrastructure management: Chef, New Relic, Munin, Sentry, Kerberos Web development: PHP, Ruby on Rails, MySQL, jQuery, Boostrap, LESS Project management: Asana, JIRA, Scrum... So, every technology that exists, basically.","Burstworks is a web application incubator and holding company. We leverage deep data analytics to drive the design, creation, distribution, and monetization of our portfolio of consumer and enterprise web products. Externally we look a lot like a web app publisher; our portfolio of web properties and browser extensions are used by millions of people weekly. Behind the scenes we're also laying the groundwork for a global data-driven content distribution network that drastically improves targeting quality and market accessibility for our portfolio businesses and our partners.","We're more interested in intelligence, resourcefulness, and strong CS fundamentals than any particular skill-set. Whether you're entry level or Ÿber-awesome, a Python junkie, a Node ninja, or a RoR enthusiast, we want to talk! We strongly prefer well-rounded web devs to siloed specialists so we look for cross-domain competency. We don't expect every hire to be a rockstar in every dimension (just overall), but we do look for familiarity in: how the internet, HTTP, DNS, and web servers work relational and non-relational databases, and when they're respectively appropriate HTML, CSS, JavaScript, LocalStorage, AJAX, JSON, DOM Manipulation, and console debugging *nix, bash, and proficiency in at least two languages Some popular framework (Bootstrap, jQuery, LESS, CoffeeScript, AngularJS, Backbone, Ember, Batman, etc.)","Enthusiasm for a small-teamed, dynamic start-up environment a self-starter attitude: you love pushing things forward a self-sufficient work style: you know when to ask questions and how to move forward with minimal structure an ""I'll figure it out"" attitude: no problem is unsolvable comfort with data-driven advertising as a revenue stream tolerance, patience, an open mind, a positive attitude, and a tolerance of the oxford comma"
Dana Farber,Boston,MA,"The mission of Dana-Farber Cancer Institute is to provide expert, compassionate care to children and adults with cancer while advancing the understanding, diagnosis, treatment, cure, and prevention of cancer and related diseases. ",1001-5000,Health Care,Linux/Apache/mySQL/Rails. Repos live in Github. Apps live in a VM cluster. We can go from whiteboard to demo-ing an app on a staging server in a matter of hours (theoretically).,,"Small team of three devs. TDD, BDD, pairing (when possible), work directly with end users, writing user stories, iterative cycles, etc. Peer code review.",DFCI is a cancer research institute with ties to Harvard Medical School. So the overall culture academic. But we deal mainly with administrative support issues so it's more of back office thing where we run our own show. We like to keep it laid back.
Digtal Lumens,Boston,MA,"A pioneer in developing and implementing next-generation lighting solutions, Digital Lumens is taking a game-changing approach to the industrial lighting market. With the introduction of the first Intelligent Lighting System, the company is combining LEDs, networking and software into a single, integrated system that reduces customers’ lighting-related energy use by up to 90 percent. The company is distinguished by breakthrough technology, a management team of proven visionaries from the solid-state lighting and distributed networking industries, and proven results from real-world client deployments.",51-200,Environmental,"LightRules is built in Rails 3 using PostgreSQL and a custom data warehouse. About 20% of the code is JavaScript supporting advanced interactions like an interactive 2d map of the facility where the Intelligent Lighting System is installed. Currently a LightRules Appliance is installed at every facility, but we are moving more of the functionality into the cloud (using AWS/heroku).",LightRules is the central control and management system for our Intelligent Lighting System. Customers use LightRules in hundreds of facilities to manage thousands of our LED lighting fixtures. For many customers we reduce their energy costs for lighting by 90%.,"Digital Lumens designs and builds the complete Intelligent Lighting System, so software engineers work side by side with mechanical and electrical engineers. This is a great opportunity to work with physical products that live in the real world and make a real difference.",We're a fast-growing company in the Fort Point neighborhood in Boston. Read about us in the CS Monitor: http://www.csmonitor.com/Environment/2013/1006/Energy-efficiency-How-the-Internet-can-lower-your-electric-bill
Fiksu,Boston,MA,"Fiksu, Inc. is a new Marketing and Advertising technology company. Fiksu® for Mobile Apps is the company’s first solution designed to help mobile app brands achieve their business goals faster and more cost-effectively.",51-200,Marketing and Advertising Technology,,"The award-winning Fiksu Mobile App Marketing and Advertising Platform is used by the world’s top app publishers, game developers, and major brands to drive high volumes of installs by quality, loyal users – with outstanding Marketing and Advertising ROI. The Fiksu Platform combines centralized media buying from the world’s largest mobile advertising inventory with advanced optimization technology, to help app marketers deliver exceptional business results. Fiksu also provides full transparency into the performance of all your app Marketing and Advertising programs – for results you can see in real time.",,"At Fiksu, employees work hard and play hard. With many fitness and cycling enthusiasts in the group, one of the team’s favorite activities is the Fiksu2Fiksu ride, a 100+ mile bike ride from the company’s Western Massachusetts office into downtown Boston. Additionally, the company regularly treats the full team to company outings, from Boston sporting events to harbor cruises and bowling competitions."
GameFace Media,Boston,MA,"Gameface enables brands to make a deep connection with customers and prospects by providing photos of them participating in any sport (obstacle races, triathlons, running races, cycling, skiing, cross fit, rowing, martial arts, youth sports) or activity events (charity, collegiate, tailgating, concerts, alumni, adventure parks, etc.) -- FOR FREE ",1-10,Sports,,,,
Hubspot,Cambridge,MA,"HubSpot is an inbound Marketing and Advertising software company that helps businesses transform their Marketing and Advertising from outbound (cold calls, email spam, trade shows, tv ads, etc) lead generation to inbound lead generation enabling them to ""get found"" by more potential customers in the natural course of the way they shop and learn. ",201-500,Marketing and Advertising Software,,,,
